epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.409,2.42526,4.70705,2.45242,0.25196,0.15678,0.05586,0.0186,2.38357,7.31016,2.88981,0.000236592,0.000236592,0.000236592
2,228.171,2.31555,3.48473,2.43815,0.61795,0.05077,0.0424,0.01579,2.64626,6.54652,3.16299,0.000469893,0.000469893,0.000469893
3,343.297,2.34265,3.36507,2.46935,0.47943,0.11769,0.05674,0.01662,2.51649,3.92716,2.93127,0.000698482,0.000698482,0.000698482
4,458.112,2.27633,3.12243,2.43568,0.49028,0.08114,0.06421,0.02531,2.34433,3.58908,2.73695,0.000692794,0.000692794,0.000692794
5,573.778,2.21454,3.0432,2.38151,0.57297,0.13456,0.09373,0.03411,2.37822,3.5508,2.67088,0.000685726,0.000685726,0.000685726
6,689.273,2.16372,2.8534,2.3502,0.77939,0.10861,0.13824,0.04856,2.29116,2.65629,2.72727,0.000678657,0.000678657,0.000678657
7,804.834,2.1583,2.7073,2.33124,0.74893,0.1341,0.258,0.1072,2.16163,2.45008,2.57275,0.000671588,0.000671588,0.000671588
8,920.098,2.09305,2.65641,2.30031,0.58371,0.19271,0.25922,0.09664,2.17779,2.65078,2.58919,0.00066452,0.00066452,0.00066452
9,1034.63,2.06752,2.49179,2.26301,0.36173,0.21407,0.15265,0.06503,2.2253,2.8249,2.51714,0.000657451,0.000657451,0.000657451
10,1149.19,2.04331,2.46634,2.24891,0.81564,0.20096,0.2667,0.1152,2.13944,2.51887,2.52969,0.000650383,0.000650383,0.000650383
11,1264.33,2.01202,2.30082,2.2138,0.60498,0.23346,0.2263,0.11098,2.11856,2.60881,2.52402,0.000643314,0.000643314,0.000643314
12,1378.82,1.97931,2.26421,2.19244,0.55686,0.3046,0.35069,0.18337,2.12455,2.37503,2.52375,0.000636245,0.000636245,0.000636245
13,1493.89,1.91505,2.08166,2.15674,0.32609,0.41678,0.34854,0.15037,2.07305,2.25504,2.52073,0.000629177,0.000629177,0.000629177
14,1608.51,1.90531,2.048,2.11949,0.63953,0.40072,0.40748,0.17659,2.07867,2.5008,2.49837,0.000622108,0.000622108,0.000622108
15,1723.1,1.84392,1.95296,2.07289,0.55522,0.40125,0.3893,0.18323,2.00706,1.98388,2.44257,0.00061504,0.00061504,0.00061504
16,1837.59,1.86535,1.92482,2.09409,0.65247,0.41156,0.52464,0.22817,2.04511,1.88821,2.41514,0.000607971,0.000607971,0.000607971
17,1952.59,1.78848,1.77564,2.01306,0.64143,0.49323,0.58908,0.28268,2.07164,1.70636,2.52872,0.000600902,0.000600902,0.000600902
18,2067.97,1.80418,1.78386,2.0414,0.41569,0.5162,0.49561,0.21164,2.04484,1.81214,2.48841,0.000593834,0.000593834,0.000593834
19,2182.46,1.79264,1.7834,2.02379,0.57517,0.57155,0.57196,0.24682,1.92931,2.28191,2.40787,0.000586765,0.000586765,0.000586765
20,2297,1.72744,1.6758,1.962,0.47924,0.50891,0.53308,0.2065,1.98304,1.83556,2.45242,0.000579697,0.000579697,0.000579697
21,2411.53,1.74501,1.6499,1.98516,0.53038,0.53208,0.55899,0.27632,1.9623,1.68603,2.42432,0.000572628,0.000572628,0.000572628
22,2525.86,1.74402,1.62663,1.9882,0.73865,0.45615,0.56639,0.25719,1.99132,1.81408,2.43909,0.000565559,0.000565559,0.000565559
23,2640.51,1.70263,1.58742,1.95292,0.65663,0.45192,0.54154,0.2582,1.98322,1.84802,2.42694,0.000558491,0.000558491,0.000558491
24,2754.86,1.67553,1.48355,1.92345,0.59905,0.56775,0.60204,0.29025,2.05965,1.52925,2.516,0.000551422,0.000551422,0.000551422
25,2870,1.6571,1.50786,1.91591,0.53234,0.58784,0.63007,0.29383,2.04468,1.47081,2.49919,0.000544354,0.000544354,0.000544354
26,2985.25,1.66197,1.44162,1.91393,0.66031,0.69791,0.66085,0.29914,1.97527,1.47086,2.41444,0.000537285,0.000537285,0.000537285
27,3100.07,1.64352,1.43153,1.90136,0.61273,0.65979,0.67189,0.32316,1.97958,1.56944,2.42059,0.000530216,0.000530216,0.000530216
28,3215.06,1.63158,1.38764,1.87704,0.72547,0.5974,0.6684,0.28801,2.10029,1.51402,2.55748,0.000523148,0.000523148,0.000523148
29,3329.47,1.58459,1.30152,1.84821,0.61738,0.60771,0.67221,0.32625,1.98733,1.39103,2.44711,0.000516079,0.000516079,0.000516079
30,3444.21,1.59329,1.3586,1.83968,0.75681,0.56843,0.66075,0.31269,1.95628,1.40234,2.41363,0.000509011,0.000509011,0.000509011
31,3558.48,1.57269,1.32271,1.84914,0.68705,0.67926,0.71084,0.33018,1.96564,1.35074,2.43216,0.000501942,0.000501942,0.000501942
32,3673.22,1.53183,1.23658,1.80376,0.85873,0.60674,0.75848,0.34355,1.99654,1.28681,2.52883,0.000494873,0.000494873,0.000494873
33,3788.2,1.54252,1.22626,1.81422,0.73583,0.55216,0.63703,0.2965,2.07188,1.53472,2.54812,0.000487805,0.000487805,0.000487805
34,3902.35,1.52791,1.22453,1.80241,0.60193,0.69816,0.66863,0.30702,2.07773,1.30763,2.59098,0.000480736,0.000480736,0.000480736
35,4016.7,1.5369,1.18737,1.80061,0.77562,0.69058,0.76158,0.35307,1.97938,1.30652,2.4905,0.000473668,0.000473668,0.000473668
36,4131.61,1.47307,1.15553,1.75669,0.76823,0.75382,0.74856,0.3359,1.9489,1.24526,2.45266,0.000466599,0.000466599,0.000466599
37,4245.84,1.47409,1.1374,1.76365,0.72686,0.77753,0.7936,0.37517,1.99903,1.17804,2.50102,0.00045953,0.00045953,0.00045953
38,4360.83,1.47324,1.14332,1.76346,0.79331,0.71412,0.80848,0.3704,1.94768,1.30689,2.49148,0.000452462,0.000452462,0.000452462
39,4475.12,1.45676,1.07848,1.7445,0.80499,0.71329,0.75613,0.3389,1.96515,1.31591,2.48096,0.000445393,0.000445393,0.000445393
40,4589.23,1.41512,1.06104,1.72306,0.87528,0.69992,0.80756,0.38169,1.97406,1.12995,2.51654,0.000438325,0.000438325,0.000438325
41,4703.94,1.42671,1.09038,1.73921,0.80782,0.61346,0.78682,0.35718,1.94877,1.20774,2.47928,0.000431256,0.000431256,0.000431256
42,4818.06,1.40403,1.09129,1.71573,0.78915,0.7011,0.76391,0.34341,2.00919,1.15829,2.53017,0.000424187,0.000424187,0.000424187
43,4932.22,1.37127,1.05815,1.68148,0.77203,0.78202,0.80771,0.39079,2.00771,1.15335,2.56905,0.000417119,0.000417119,0.000417119
44,5046.9,1.38172,1.03257,1.68095,0.77929,0.69326,0.766,0.37296,1.95245,1.11708,2.50696,0.00041005,0.00041005,0.00041005
45,5160.76,1.36541,1.01765,1.66853,0.80011,0.71868,0.76876,0.35878,1.99324,1.18637,2.5804,0.000402982,0.000402982,0.000402982
46,5274.87,1.38513,1.0098,1.67792,0.85549,0.72391,0.80982,0.39402,1.93539,1.11409,2.48465,0.000395913,0.000395913,0.000395913
47,5389.47,1.33335,0.97151,1.65447,0.8226,0.79734,0.80967,0.37884,1.97753,1.12279,2.56399,0.000388844,0.000388844,0.000388844
48,5503.65,1.32726,0.96759,1.64316,0.77265,0.70695,0.79681,0.33874,1.95574,1.27676,2.5416,0.000381776,0.000381776,0.000381776
49,5617.98,1.3216,0.93709,1.65227,0.8519,0.69173,0.76836,0.36316,1.92771,1.0631,2.54483,0.000374707,0.000374707,0.000374707
50,5732.05,1.2974,0.92127,1.6337,0.90786,0.7591,0.83297,0.3877,1.9359,1.04393,2.53554,0.000367639,0.000367639,0.000367639
51,5846.29,1.29431,0.93131,1.61674,0.80811,0.70142,0.7933,0.39152,1.93071,1.09976,2.56282,0.00036057,0.00036057,0.00036057
52,5960.41,1.29128,0.91734,1.61292,0.81667,0.74141,0.81104,0.41004,1.95382,1.09428,2.55228,0.000353501,0.000353501,0.000353501
53,6075.03,1.27337,0.90619,1.60965,0.82888,0.73803,0.81745,0.37801,1.91899,1.04316,2.52579,0.000346433,0.000346433,0.000346433
54,6189.29,1.26655,0.91018,1.5943,0.83487,0.7801,0.83288,0.40419,1.92966,0.98345,2.56287,0.000339364,0.000339364,0.000339364
55,6303.56,1.2387,0.87461,1.57566,0.7939,0.78483,0.80334,0.38166,1.99023,1.12508,2.61189,0.000332296,0.000332296,0.000332296
56,6417.99,1.24678,0.88989,1.59106,0.81808,0.76765,0.8251,0.38278,1.9824,1.09169,2.57167,0.000325227,0.000325227,0.000325227
57,6532.66,1.23921,0.87428,1.56142,0.84627,0.73007,0.80562,0.39499,1.95136,1.04944,2.56755,0.000318158,0.000318158,0.000318158
58,6647.28,1.2068,0.85097,1.55771,0.9029,0.79551,0.84463,0.39678,1.91505,1.03942,2.58537,0.00031109,0.00031109,0.00031109
59,6761.23,1.18629,0.81129,1.54608,0.77497,0.76298,0.79925,0.36016,2.02325,0.98603,2.69595,0.000304021,0.000304021,0.000304021
60,6875.37,1.22541,0.87158,1.55659,0.90014,0.73066,0.82179,0.36555,1.98523,0.98666,2.67453,0.000296953,0.000296953,0.000296953
61,6989.79,1.21822,0.8554,1.56344,0.85078,0.65432,0.8093,0.36926,2.01921,1.04001,2.6343,0.000289884,0.000289884,0.000289884
62,7104.12,1.16831,0.79777,1.52752,0.85468,0.7984,0.86856,0.39534,1.97464,1.00819,2.65525,0.000282815,0.000282815,0.000282815
